,Results.reception.time,MD5.hash.of.participant.s.IP.address,Controller.name,Order.number.of.item,Inner.element.number,Label,Latin.Square.Group,PennElementName,PennElementType,Parameter,Value,EventTime,Comments,Question..NULL.if.none..,Answer,Whether.or.not.answer.was.correct..NULL.if.N.A.,target_group,target_item,target_type,target_fem_sentence,target_choiceM,target_choiceF,target_adj,target_noun,Time.taken.to.answer.
2085,1701460034,cf6b190ba495ee9d25171886ce037b8d,PennController,54,0,experimental-trial,NULL,Question,Controller,Question,See extra columns,1701459733826,4 extra columns added for this controller,Él vendió ___ used guitar,la,1,4,15,B,Él vendió la used guitar,el,la,used,guitar,3217
2091,1701460034,cf6b190ba495ee9d25171886ce037b8d,PennController,63,0,experimental-trial,NULL,Question,Controller,Question,See extra columns,1701459746845,4 extra columns added for this controller,Él visitó ___ beach,la,1,4,24,A,Él visitó la beach,el,la,none,beach,3686
2097,1701460034,cf6b190ba495ee9d25171886ce037b8d,PennController,66,0,experimental-trial,NULL,Question,Controller,Question,See extra columns,1701459767138,4 extra columns added for this controller,Él cortó ___ ripe strawberry,la,1,4,27,B,Él cortó la ripe strawberry,el,la,ripe,strawberry,16233
2103,1701460034,cf6b190ba495ee9d25171886ce037b8d,PennController,58,0,experimental-trial,NULL,Question,Controller,Question,See extra columns,1701459777450,4 extra columns added for this controller,Él tomó ___ comfortable chair,la,1,4,19,B,Él tomó la comfortable chair,el,la,comfortable,chair,4785
2109,1701460034,cf6b190ba495ee9d25171886ce037b8d,PennController,52,0,experimental-trial,NULL,Question,Controller,Question,See extra columns,1701459793354,4 extra columns added for this controller,Tallamos ___ pumpkin ___,la%2C naranja,1,4,13,D,Tallamos la pumpkin naranja,el%2C naranjo,la%2C naranja,naranjo/a,pumpkin,8383
2115,1701460034,cf6b190ba495ee9d25171886ce037b8d,PennController,51,0,experimental-trial,NULL,Question,Controller,Question,See extra columns,1701459802854,4 extra columns added for this controller,Ellos leen ___ letter,la,1,4,12,A,Ellos leen la letter,el,la,none,letter,4283
2121,1701460034,cf6b190ba495ee9d25171886ce037b8d,PennController,55,0,experimental-trial,NULL,Question,Controller,Question,See extra columns,1701459809991,4 extra columns added for this controller,Él usó ___ computadora,la,1,4,16,A,Él usó la computer,el,la,none,computer,3549
2127,1701460034,cf6b190ba495ee9d25171886ce037b8d,PennController,53,0,experimental-trial,NULL,Question,Controller,Question,See extra columns,1701459820285,4 extra columns added for this controller,Ella odia ___ sculpture,la fea,1,4,14,C,Ella odia la fea sculpture,el feo,la fea,feo/a,sculpture,5007
2133,1701460034,cf6b190ba495ee9d25171886ce037b8d,PennController,56,0,experimental-trial,NULL,Question,Controller,Question,See extra columns,1701459844620,4 extra columns added for this controller,A ella le encanta ___ bag ___,la%2C cara,1,4,17,D,A ella le encanta la bag cara,el%2C caro,la%2C cara,caro/cara,bag,6078
2139,1701460034,cf6b190ba495ee9d25171886ce037b8d,PennController,43,0,experimental-trial,NULL,Question,Controller,Question,See extra columns,1701459854562,4 extra columns added for this controller,Ellos abrieron ___ window,la,1,4,4,A,Ellos abrieron la window,el,la,none,window,4034
2145,1701460034,cf6b190ba495ee9d25171886ce037b8d,PennController,40,0,experimental-trial,NULL,Question,Controller,Question,See extra columns,1701459863821,4 extra columns added for this controller,Pásame ___ t-shirt ___,la%2C roja,1,4,1,D,Pásame la t-shirt roja,el%2C rojo,la%2C roja,rojo/a,t-shirt,6007
2151,1701460034,cf6b190ba495ee9d25171886ce037b8d,PennController,67,0,experimental-trial,NULL,Question,Controller,Question,See extra columns,1701459870088,4 extra columns added for this controller,Ella regó ___ plant,la,1,4,28,A,Ella regó la plant,el,la,none,plant,2631
2157,1701460034,cf6b190ba495ee9d25171886ce037b8d,PennController,50,0,experimental-trial,NULL,Question,Controller,Question,See extra columns,1701459877359,4 extra columns added for this controller,Quiero ver ___ good movie,la,1,4,11,B,Quiero ver la good movie,el,la,good,movie,3407
2163,1701460034,cf6b190ba495ee9d25171886ce037b8d,PennController,44,0,experimental-trial,NULL,Question,Controller,Question,See extra columns,1701459884410,4 extra columns added for this controller,Ella necesita ___ key ___,la%2C vieja,1,4,5,D,Ella necesita la key vieja,el%2C viejo,la%2C vieja,viejo/a,key,2900
2169,1701460034,cf6b190ba495ee9d25171886ce037b8d,PennController,62,0,experimental-trial,NULL,Question,Controller,Question,See extra columns,1701459896494,4 extra columns added for this controller,Miguel tiene ___ white bike,la,1,4,23,B,Miguel tiene la white bike,el,la,white,bicycle,4557
2175,1701460034,cf6b190ba495ee9d25171886ce037b8d,PennController,47,0,experimental-trial,NULL,Question,Controller,Question,See extra columns,1701459904789,4 extra columns added for this controller,Ella arregló ___ machine,la,1,4,8,A,Ella arregló la machine,el,la,none,machine,4874
2181,1701460034,cf6b190ba495ee9d25171886ce037b8d,PennController,46,0,experimental-trial,NULL,Question,Controller,Question,See extra columns,1701459913510,4 extra columns added for this controller,Subimos ___ tall mountain,la,1,4,7,B,Subimos la tall mountain,el,la,tall,mountain,3355
2187,1701460034,cf6b190ba495ee9d25171886ce037b8d,PennController,48,0,experimental-trial,NULL,Question,Controller,Question,See extra columns,1701459923954,4 extra columns added for this controller,Comí ___ grape ___,la%2C podrida,1,4,9,D,Comí la grape podrida,el%2C podrido,la%2C podrida,podrido/podrida,grape,4443
2193,1701460034,cf6b190ba495ee9d25171886ce037b8d,PennController,45,0,experimental-trial,NULL,Question,Controller,Question,See extra columns,1701459933079,4 extra columns added for this controller,A él le gusta ___ painting,la hermosa,1,4,6,C,A él le gusta la hermosa painting,el hermoso,la hermosa,hermoso/a,painting,3337
2199,1701460034,cf6b190ba495ee9d25171886ce037b8d,PennController,42,0,experimental-trial,NULL,Question,Controller,Question,See extra columns,1701459941918,4 extra columns added for this controller,Él cerró ___ yellow door,la,1,4,3,B,Él cerró la yellow door,el,la,yellow,door,4639
2205,1701460034,cf6b190ba495ee9d25171886ce037b8d,PennController,71,0,experimental-trial,NULL,Question,Controller,Question,See extra columns,1701459949050,4 extra columns added for this controller,Tú doblaste ___ blanket,la,1,4,32,A,Tú doblaste la blanket,el,la,none,blanket,2247
2211,1701460034,cf6b190ba495ee9d25171886ce037b8d,PennController,60,0,experimental-trial,NULL,Question,Controller,Question,See extra columns,1701459958194,4 extra columns added for this controller,Ella hizo ___ cookie ___,la%2C deliciosa,1,4,21,D,Ella hizo la cookie deliciosa,el%2C delicioso,la%2C deliciosa,delicioso/deliciosa,cookie,2750
2217,1701460034,cf6b190ba495ee9d25171886ce037b8d,PennController,65,0,experimental-trial,NULL,Question,Controller,Question,See extra columns,1701459967637,4 extra columns added for this controller,Yo escogí ___ apple,la fresca,1,4,26,C,Yo escogí la fresca apple,el fresco,la fresca,fresco/fresca,apple,3650
2223,1701460034,cf6b190ba495ee9d25171886ce037b8d,PennController,57,0,experimental-trial,NULL,Question,Controller,Question,See extra columns,1701459977302,4 extra columns added for this controller,Me caí en ___ sidewalk,la helada,1,4,18,C,Me caí en la helada sidewalk,el helado,la helada,helado/helada,sidewalk,4918
2229,1701460034,cf6b190ba495ee9d25171886ce037b8d,PennController,41,0,experimental-trial,NULL,Question,Controller,Question,See extra columns,1701459984651,4 extra columns added for this controller,Yo compré ___ table,la barata,1,4,2,C,Yo compré la barata table,el barato,la barata,barato/a,table,3933
2235,1701460034,cf6b190ba495ee9d25171886ce037b8d,PennController,70,0,experimental-trial,NULL,Question,Controller,Question,See extra columns,1701459993591,4 extra columns added for this controller,Tú nadaste en ___ deep pool,la,1,4,31,B,Tú nadaste en la deep pool,el,la,deep,pool,5156
2241,1701460034,cf6b190ba495ee9d25171886ce037b8d,PennController,61,0,experimental-trial,NULL,Question,Controller,Question,See extra columns,1701460009873,4 extra columns added for this controller,Dame ___ cup,el lleno,0,4,22,C,Dame la llena cup,el lleno,la llena,lleno/llena,cup,8770
2247,1701460034,cf6b190ba495ee9d25171886ce037b8d,PennController,49,0,experimental-trial,NULL,Question,Controller,Question,See extra columns,1701460022687,4 extra columns added for this controller,Ella construyó ___ house,la bonita,1,4,10,C,Ella construyó la bonita house,el bonito,la bonita,bonito/bonita,house,6026
2283,1701489796,57fd1c60175cf1856bb0f79c5042f362,PennController,66,0,experimental-trial,NULL,Question,Controller,Question,See extra columns,1701489550085,4 extra columns added for this controller,Él cortó ___ strawberry,la madura,1,1,27,C,Él cortó la madura strawberry,el maduro,la madura,maduro/madura,strawberry,4507
2289,1701489796,57fd1c60175cf1856bb0f79c5042f362,PennController,49,0,experimental-trial,NULL,Question,Controller,Question,See extra columns,1701489555316,4 extra columns added for this controller,Ella construyó ___ house ___,la%2C bonita,1,1,10,D,Ella construyó la house bonita,el%2C bonito,la%2C bonita,bonito/bonita,house,3540
2295,1701489796,57fd1c60175cf1856bb0f79c5042f362,PennController,47,0,experimental-trial,NULL,Question,Controller,Question,See extra columns,1701489563666,4 extra columns added for this controller,Ella arregló ___ broken machine,la,1,1,8,B,Ella arregló la broken machine,el,la,broken,machine,4206
2301,1701489796,57fd1c60175cf1856bb0f79c5042f362,PennController,43,0,experimental-trial,NULL,Question,Controller,Question,See extra columns,1701489577177,4 extra columns added for this controller,Ellos abrieron ___ small window,la,1,1,4,B,Ellos abrieron la small window,el ,la,small,window,3765
2307,1701489796,57fd1c60175cf1856bb0f79c5042f362,PennController,55,0,experimental-trial,NULL,Question,Controller,Question,See extra columns,1701489590611,4 extra columns added for this controller,Él usó ___ new computer,el,0,1,16,B,Él usó la new computer,el,la,new,computer,4509
2313,1701489796,57fd1c60175cf1856bb0f79c5042f362,PennController,53,0,experimental-trial,NULL,Question,Controller,Question,See extra columns,1701489597923,4 extra columns added for this controller,Ella odia ___ sculpture ___,la%2C fea,1,1,14,D,Ella odia la sculpture fea,el%2C feo,la%2C fea,feo/a,sculpture,3259
2319,1701489796,57fd1c60175cf1856bb0f79c5042f362,PennController,71,0,experimental-trial,NULL,Question,Controller,Question,See extra columns,1701489607372,4 extra columns added for this controller,Tú doblaste ___ clean blanket,la,1,1,32,B,Tú doblaste la clean blanket,el,la,clean,blanket,2088
2325,1701489796,57fd1c60175cf1856bb0f79c5042f362,PennController,59,0,experimental-trial,NULL,Question,Controller,Question,See extra columns,1701489616487,4 extra columns added for this controller,Yo di ___ correct answer,la,1,1,20,B,Yo di la correct answer,el,la,correct,answer,2561
2331,1701489796,57fd1c60175cf1856bb0f79c5042f362,PennController,54,0,experimental-trial,NULL,Question,Controller,Question,See extra columns,1701489623844,4 extra columns added for this controller,Él vendió __ guitar,la usada,1,1,15,C,Él vendió la usada guitar,el usado,la usada,usado/usada,guitar,3574
2337,1701489796,57fd1c60175cf1856bb0f79c5042f362,PennController,67,0,experimental-trial,NULL,Question,Controller,Question,See extra columns,1701489628491,4 extra columns added for this controller,Ella regó ___ healthy plant,la,1,1,28,B,Ella regó la healthy plant,el,la,healthy,plant,2404
2343,1701489796,57fd1c60175cf1856bb0f79c5042f362,PennController,41,0,experimental-trial,NULL,Question,Controller,Question,See extra columns,1701489639067,4 extra columns added for this controller,Yo compré ___ table ___,la%2C barata,1,1,2,D,Yo compré la table barata,el%2C barato,la%2C barata,barato/a,table,2528
2349,1701489796,57fd1c60175cf1856bb0f79c5042f362,PennController,46,0,experimental-trial,NULL,Question,Controller,Question,See extra columns,1701489644535,4 extra columns added for this controller,Subimos ___ mountain,la alta,1,1,7,C,Subimos la alta mountain,el alto,la alta,alto/a,mountain,3136
2355,1701489796,57fd1c60175cf1856bb0f79c5042f362,PennController,65,0,experimental-trial,NULL,Question,Controller,Question,See extra columns,1701489652197,4 extra columns added for this controller,Yo escogí ___ apple ___,la%2C fresca,1,1,26,D,Yo escogí la apple fresca,el%2C fresco,la%2C fresca,fresco/fresca,apple,2426
2361,1701489796,57fd1c60175cf1856bb0f79c5042f362,PennController,45,0,experimental-trial,NULL,Question,Controller,Question,See extra columns,1701489661738,4 extra columns added for this controller,A él le gusta ___ painting ___,el%2C hermoso,0,1,6,D,A él le gusta la painting hermosa,el%2C hermoso,la%2C hermosa,hermoso/a,painting,5060
2367,1701489796,57fd1c60175cf1856bb0f79c5042f362,PennController,61,0,experimental-trial,NULL,Question,Controller,Question,See extra columns,1701489670704,4 extra columns added for this controller,Dame ___ cup ___,la%2C llena,1,1,22,D,Dame la cup llena,el%2C lleno,la%2C llena,lleno/llena,cup,3169
2373,1701489796,57fd1c60175cf1856bb0f79c5042f362,PennController,57,0,experimental-trial,NULL,Question,Controller,Question,See extra columns,1701489681304,4 extra columns added for this controller,Me caí en ___ sidewalk ___,el%2C helado,0,1,18,D,Me caí en la sidewalk helada,el%2C helado,la%2C helada,helado/helada,sidewalk,2427
2379,1701489796,57fd1c60175cf1856bb0f79c5042f362,PennController,48,0,experimental-trial,NULL,Question,Controller,Question,See extra columns,1701489692151,4 extra columns added for this controller,Comí ___ grape,la,1,1,9,A,Comí la grape,el,la,none,grape,1932
2385,1701489796,57fd1c60175cf1856bb0f79c5042f362,PennController,60,0,experimental-trial,NULL,Question,Controller,Question,See extra columns,1701489697021,4 extra columns added for this controller,Ella hizo ___ cookie,la,1,1,21,A,Ella hizo la cookie,el,la,none,cookie,2607
2391,1701489796,57fd1c60175cf1856bb0f79c5042f362,PennController,42,0,experimental-trial,NULL,Question,Controller,Question,See extra columns,1701489702208,4 extra columns added for this controller,Él cerró ___ door,la amarilla,1,1,3,C,Él cerró la amarilla door,el amarillo,la amarilla,amarillo/a,door,2866
2397,1701489796,57fd1c60175cf1856bb0f79c5042f362,PennController,56,0,experimental-trial,NULL,Question,Controller,Question,See extra columns,1701489708621,4 extra columns added for this controller,A ella le encanta ___ bag,la,1,1,17,A,A ella le encanta la bag,el,la,none,bag,1719
2403,1701489796,57fd1c60175cf1856bb0f79c5042f362,PennController,63,0,experimental-trial,NULL,Question,Controller,Question,See extra columns,1701489712636,4 extra columns added for this controller,Él visitó ___ famous beach,la,1,1,24,B,Él visitó la famous beach,el,la,famous,beach,1414
2409,1701489796,57fd1c60175cf1856bb0f79c5042f362,PennController,44,0,experimental-trial,NULL,Question,Controller,Question,See extra columns,1701489717328,4 extra columns added for this controller,Ella necesita ___ key,la,1,1,5,A,Ella necesita la key,el,la,none,key,2505
2415,1701489796,57fd1c60175cf1856bb0f79c5042f362,PennController,51,0,experimental-trial,NULL,Question,Controller,Question,See extra columns,1701489721592,4 extra columns added for this controller,Ellos leen ___ long letter,la,1,1,12,B,Ellos leen la long letter,el,la,long,letter,2178
2421,1701489796,57fd1c60175cf1856bb0f79c5042f362,PennController,68,0,experimental-trial,NULL,Question,Controller,Question,See extra columns,1701489729872,4 extra columns added for this controller,Ellos miraron ___ star,la,1,1,29,A,Ellos miraron la star,el,la,none,star,2100
2427,1701489796,57fd1c60175cf1856bb0f79c5042f362,PennController,69,0,experimental-trial,NULL,Question,Controller,Question,See extra columns,1701489735094,4 extra columns added for this controller,Ella se metió en ___ bathtub ___,la%2C vacía,1,1,30,D,Ella se metió en la bathtub vacía,el%2C vacío,la%2C vacía,vacío/vacía,bathtub,2415
2433,1701489796,57fd1c60175cf1856bb0f79c5042f362,PennController,50,0,experimental-trial,NULL,Question,Controller,Question,See extra columns,1701489747672,4 extra columns added for this controller,Quiero ver ___ movie,el buen,0,1,11,C,Quiero ver la buena movie,el buen,la buena,buen/buena,movie,8198
2439,1701489796,57fd1c60175cf1856bb0f79c5042f362,PennController,62,0,experimental-trial,NULL,Question,Controller,Question,See extra columns,1701489752926,4 extra columns added for this controller,Miguel tiene ___ bike,el blanco,0,1,23,C,Miguel tiene la blanca bike,el blanco,la blanca,blanco/blanca,bicycle,2980
2445,1701489796,57fd1c60175cf1856bb0f79c5042f362,PennController,40,0,experimental-trial,NULL,Question,Controller,Question,See extra columns,1701489762761,4 extra columns added for this controller,Pásame ___ t-shirt,la,1,1,1,A,Pásame la t-shirt,el,la,none,t-shirt,1562
2451,1701489796,57fd1c60175cf1856bb0f79c5042f362,PennController,52,0,experimental-trial,NULL,Question,Controller,Question,See extra columns,1701489769769,4 extra columns added for this controller,Tallamos ___ pumpkin,la,1,1,13,A,Tallamos la pumpkin,el,la,none,pumpkin,1888
2457,1701489796,57fd1c60175cf1856bb0f79c5042f362,PennController,64,0,experimental-trial,NULL,Question,Controller,Question,See extra columns,1701489776946,4 extra columns added for this controller,Seguimos ___ recipe,la,1,1,25,A,Seguimos la recipe,el,la,none,recipe,5430
2463,1701489796,57fd1c60175cf1856bb0f79c5042f362,PennController,70,0,experimental-trial,NULL,Question,Controller,Question,See extra columns,1701489783798,4 extra columns added for this controller,Tú nadaste en ___ pool,la profunda,1,1,31,C,Tú nadaste en la profunda pool,el profundo,la profunda,profundo/profunda,pool,4609
2469,1701489796,57fd1c60175cf1856bb0f79c5042f362,PennController,58,0,experimental-trial,NULL,Question,Controller,Question,See extra columns,1701489789863,4 extra columns added for this controller,Él tomó ___ chair,la cómoda,1,1,19,C,Él tomó la cómoda chair,el cómodo,la cómoda,cómodo/cómoda,chair,3339
2508,1701556840,c1e9975e539b92953462533112022eb1,PennController,63,0,experimental-trial,NULL,Question,Controller,Question,See extra columns,1701556601095,4 extra columns added for this controller,Él visitó ___ beach,el famoso,0,2,24,C,Él visitó la famosa beach,el famoso,la famosa,famoso/famosa,beach,4154
2514,1701556840,c1e9975e539b92953462533112022eb1,PennController,71,0,experimental-trial,NULL,Question,Controller,Question,See extra columns,1701556606652,4 extra columns added for this controller,Tú doblaste ___ blanket,la limpia,1,2,32,C,Tú doblaste la limpia blanket,el limpio,la limpia,limpio/limpia,blanket,3488
2520,1701556840,c1e9975e539b92953462533112022eb1,PennController,51,0,experimental-trial,NULL,Question,Controller,Question,See extra columns,1701556615052,4 extra columns added for this controller,Ellos leen ___ letter,la larga,1,2,12,C,Ellos leen la larga letter,el largo,la larga,largo/larga,letter,5463
2526,1701556840,c1e9975e539b92953462533112022eb1,PennController,40,0,experimental-trial,NULL,Question,Controller,Question,See extra columns,1701556619667,4 extra columns added for this controller,Pásame ___ red t-shirt,la,1,2,1,B,Pásame la red t-shirt,el,la,red,t-shirt,2109
2532,1701556840,c1e9975e539b92953462533112022eb1,PennController,47,0,experimental-trial,NULL,Question,Controller,Question,See extra columns,1701556626776,4 extra columns added for this controller,Ella arregló ___ machine,la rota,1,2,8,C,Ella arregló la rota machine,el roto,la rota,roto/a,machine,3994
2538,1701556840,c1e9975e539b92953462533112022eb1,PennController,41,0,experimental-trial,NULL,Question,Controller,Question,See extra columns,1701556632815,4 extra columns added for this controller,Yo compré ___ table,la,1,2,2,A,Yo compré la table,el,la,none,table,2573
2544,1701556840,c1e9975e539b92953462533112022eb1,PennController,44,0,experimental-trial,NULL,Question,Controller,Question,See extra columns,1701556641083,4 extra columns added for this controller,Ella necesita ___ old key,el,0,2,5,B,Ella necesita la old key,el,la,old,key,2984
2550,1701556840,c1e9975e539b92953462533112022eb1,PennController,49,0,experimental-trial,NULL,Question,Controller,Question,See extra columns,1701556647294,4 extra columns added for this controller,Ella construyó ___ house,el,0,2,10,A,Ella construyó la house,el,la,none,house,2934
2556,1701556840,c1e9975e539b92953462533112022eb1,PennController,52,0,experimental-trial,NULL,Question,Controller,Question,See extra columns,1701556659755,4 extra columns added for this controller,Tallamos ___ orange pumpkin,la,1,2,13,B,Tallamos la orange pumpkin,el,la,orange,pumpkin,3305
2562,1701556840,c1e9975e539b92953462533112022eb1,PennController,54,0,experimental-trial,NULL,Question,Controller,Question,See extra columns,1701556668143,4 extra columns added for this controller,Él vendió ___ guitar ___,el%2C usado,0,2,15,D,Él vendió la guitar usada,el%2C usado,el%2C usada,usado/usada,guitar,5358
2568,1701556840,c1e9975e539b92953462533112022eb1,PennController,43,0,experimental-trial,NULL,Question,Controller,Question,See extra columns,1701556672492,4 extra columns added for this controller,Ellos abrieron ___ window,la pequeña,1,2,4,C,Ellos abrieron la pequeña window,el pequeño,la pequeña,pequeño/a,window,2563
2574,1701556840,c1e9975e539b92953462533112022eb1,PennController,70,0,experimental-trial,NULL,Question,Controller,Question,See extra columns,1701556680576,4 extra columns added for this controller,Tú nadaste en ___ pool ___,la%2C profunda,1,2,31,D,Tú nadaste en la pool profunda,el%2C profundo,la%2C profunda,profundo/profunda,pool,3775
2580,1701556840,c1e9975e539b92953462533112022eb1,PennController,60,0,experimental-trial,NULL,Question,Controller,Question,See extra columns,1701556691547,4 extra columns added for this controller,Ella hizo ___ delicious cookie,la,1,2,21,B,Ella hizo la delicious cookie,el,la,delicious,cookie,4663
2586,1701556840,c1e9975e539b92953462533112022eb1,PennController,50,0,experimental-trial,NULL,Question,Controller,Question,See extra columns,1701556699515,4 extra columns added for this controller,Quiero ver ___ movie ___,la%2C buena,1,2,11,D,Quiero ver la movie buena,el%2C bueno,la%2C buena,bueno/buena,movie,3874
2592,1701556840,c1e9975e539b92953462533112022eb1,PennController,45,0,experimental-trial,NULL,Question,Controller,Question,See extra columns,1701556706529,4 extra columns added for this controller,A él le gusta ___ painting,la,1,2,6,A,A él le gusta la painting,el,la,none,painting,3266
2598,1701556840,c1e9975e539b92953462533112022eb1,PennController,53,0,experimental-trial,NULL,Question,Controller,Question,See extra columns,1701556712878,4 extra columns added for this controller,Ella odia ___ sculpture,la,1,2,14,A,Ella odia la sculpture,el,la,none,sculpture,2603
2604,1701556840,c1e9975e539b92953462533112022eb1,PennController,69,0,experimental-trial,NULL,Question,Controller,Question,See extra columns,1701556725276,4 extra columns added for this controller,Ella se metió en ___ bathtub,el,0,2,30,A,Ella se metió en la bathtub,el,la,none,bathtub,3227
2610,1701556840,c1e9975e539b92953462533112022eb1,PennController,61,0,experimental-trial,NULL,Question,Controller,Question,See extra columns,1701556731910,4 extra columns added for this controller,Dame ___ cup,el,0,2,22,A,Dame la cup,el,la,none,cup,2053
2616,1701556840,c1e9975e539b92953462533112022eb1,PennController,64,0,experimental-trial,NULL,Question,Controller,Question,See extra columns,1701556742263,4 extra columns added for this controller,Seguimos ___ complicated recipe,el,0,2,25,B,Seguimos la complicated recipe,el,la,complicated,recipe,6386
2622,1701556840,c1e9975e539b92953462533112022eb1,PennController,48,0,experimental-trial,NULL,Question,Controller,Question,See extra columns,1701556747854,4 extra columns added for this controller,Comí ___ purple grape,la,1,2,9,B,Comí la purple grape,el,la,rotten,grape,3039
2628,1701556840,c1e9975e539b92953462533112022eb1,PennController,55,0,experimental-trial,NULL,Question,Controller,Question,See extra columns,1701556753896,4 extra columns added for this controller,Él usó ___ computer,la nueva,1,2,16,C,Él usó la nueva computer,el nuevo,la nueva,nuevo/nueva,computer,2904
2634,1701556840,c1e9975e539b92953462533112022eb1,PennController,46,0,experimental-trial,NULL,Question,Controller,Question,See extra columns,1701556759194,4 extra columns added for this controller,Subimos ___ mountain ___,la%2C alta,1,2,7,D,Subimos la mountain alta,el%2C alto,la%2C alta,alto/a,mountain,2696
2640,1701556840,c1e9975e539b92953462533112022eb1,PennController,67,0,experimental-trial,NULL,Question,Controller,Question,See extra columns,1701556765872,4 extra columns added for this controller,Ella regó ___ plant,el sano,0,2,28,C,Ella regó la sana plant,el sano,la sana,sano/sana,plant,3338
2646,1701556840,c1e9975e539b92953462533112022eb1,PennController,65,0,experimental-trial,NULL,Question,Controller,Question,See extra columns,1701556772580,4 extra columns added for this controller,Yo escogí ___ apple,la,1,2,26,A,Yo escogí la apple,el,la,none,apple,2041
2652,1701556840,c1e9975e539b92953462533112022eb1,PennController,58,0,experimental-trial,NULL,Question,Controller,Question,See extra columns,1701556779523,4 extra columns added for this controller,Él tomó ___ chair ___,la%2C cómoda,1,2,19,D,Él tomó la chair cómoda,el%2C cómodo,la%2C cómoda,cómodo/cómoda,chair,3825
2658,1701556840,c1e9975e539b92953462533112022eb1,PennController,68,0,experimental-trial,NULL,Question,Controller,Question,See extra columns,1701556785423,4 extra columns added for this controller,Ellos miraron ___ luminous,la,1,2,29,B,Ellos miraron la luminous star,el,la,luminous,star,3026
2664,1701556840,c1e9975e539b92953462533112022eb1,PennController,42,0,experimental-trial,NULL,Question,Controller,Question,See extra columns,1701556791776,4 extra columns added for this controller,Él cerró ___ door ___,la%2C amarilla,1,2,3,D,Él cerró la door amarilla,el%2C amarillo,la%2C amarilla,amarillo/a,door,4572
2670,1701556840,c1e9975e539b92953462533112022eb1,PennController,56,0,experimental-trial,NULL,Question,Controller,Question,See extra columns,1701556800421,4 extra columns added for this controller,A ella le encanta ___ expensive bag,el,0,2,17,B,A ella le encanta la expensive bag,el,la,expensive,bag,4434
2676,1701556840,c1e9975e539b92953462533112022eb1,PennController,66,0,experimental-trial,NULL,Question,Controller,Question,See extra columns,1701556809496,4 extra columns added for this controller,Él cortó ___ strawberry ___,la%2C madura,1,2,27,D,Él cortó la strawberry madura,el%2C maduro,la%2C madura,maduro/madura,strawberry,5782
2682,1701556840,c1e9975e539b92953462533112022eb1,PennController,62,0,experimental-trial,NULL,Question,Controller,Question,See extra columns,1701556819661,4 extra columns added for this controller,Miguel tiene ___ bike ___,la%2C blanca,1,2,23,D,Miguel tiene la bike blanca,el%2C blanco,la%2C blanca,blanco/blanca,bicycle,7327
2688,1701556840,c1e9975e539b92953462533112022eb1,PennController,57,0,experimental-trial,NULL,Question,Controller,Question,See extra columns,1701556827764,4 extra columns added for this controller,Me caí en ___ sidewalk,el,0,2,18,A,Me caí en la sidewalk,el,la,none,sidewalk,3826
2694,1701556840,c1e9975e539b92953462533112022eb1,PennController,59,0,experimental-trial,NULL,Question,Controller,Question,See extra columns,1701556835258,4 extra columns added for this controller,Yo di ___ answer,la correcta,1,2,20,C,Yo di la correcta answer,el correcto,la correcta,correcto/correcta,answer,3406
2730,1701561230,8180a1ef16965e71922589de27d56118,PennController,68,0,experimental-trial,NULL,Question,Controller,Question,See extra columns,1701560826102,4 extra columns added for this controller,Ellos miraron ___ star,la luminosa,1,3,29,C,Ellos miraron la luminosa star,el luminoso,la luminosa,luminoso/luminosa,star,3433
2736,1701561230,8180a1ef16965e71922589de27d56118,PennController,66,0,experimental-trial,NULL,Question,Controller,Question,See extra columns,1701560831502,4 extra columns added for this controller,Él cortó ___ strawberry,la,1,3,27,A,Él cortó la strawberry,el,la,none,strawberry,2650
2742,1701561230,8180a1ef16965e71922589de27d56118,PennController,46,0,experimental-trial,NULL,Question,Controller,Question,See extra columns,1701560840236,4 extra columns added for this controller,Subimos ___ mountain,la,1,3,7,A,Subimos la mountain,el,la,none,mountain,5517
2748,1701561230,8180a1ef16965e71922589de27d56118,PennController,67,0,experimental-trial,NULL,Question,Controller,Question,See extra columns,1701560868886,4 extra columns added for this controller,Ella regó ___ plant ___,el%2C sano,0,3,28,D,Ella regó la plant sana,el%2C sano,la%2C sana,sano/sana,plant,24234
2754,1701561230,8180a1ef16965e71922589de27d56118,PennController,49,0,experimental-trial,NULL,Question,Controller,Question,See extra columns,1701560875436,4 extra columns added for this controller,Ella construyó ___ pretty house,la,1,3,10,B,Ella construyó la pretty house,el,la,pretty,house,3633
2760,1701561230,8180a1ef16965e71922589de27d56118,PennController,44,0,experimental-trial,NULL,Question,Controller,Question,See extra columns,1701560881653,4 extra columns added for this controller,Ella necesita ___ key,la vieja,1,3,5,C,Ella necesita la vieja key,el viejo,la vieja,viejo/a,key,2833
2766,1701561230,8180a1ef16965e71922589de27d56118,PennController,50,0,experimental-trial,NULL,Question,Controller,Question,See extra columns,1701560887653,4 extra columns added for this controller,Quiero ver ___ movie,la,1,3,11,A,Quiero ver la movie,el,la,none,movie,2533
2772,1701561230,8180a1ef16965e71922589de27d56118,PennController,71,0,experimental-trial,NULL,Question,Controller,Question,See extra columns,1701560896070,4 extra columns added for this controller,Tú doblaste ___ blanket ___,la%2C limpia,1,3,32,D,Tú doblaste la blanket limpia,el%2C limpio,la%2C limpia,limpio/limpia,blanket,6200
